統計期,平均匯率(元/美元),經濟成長率(%),國內生產毛額GDP(名目值，百萬美元),平均每人GDP(名目值，元),國民所得毛額GNI(名目值，百萬美元),平均每人GNI(名目值，元),國民所得(名目值，百萬美元),平均每人所得(名目值，元)
83年,26.46,7.5,256213,321502,260266,326588,234385,294112
84年,26.49,6.5,279013,347526,283188,352725,253519,315771
85年,27.46,6.18,292473,374569,296445,379656,265757,340354
86年,28.7,6.05,303315,402380,306408,406483,275117,364972
87年,33.46,4.2,279926,428946,281931,432018,250293,383537
88年,32.27,6.73,303827,445447,306573,449473,271000,397319
89年,31.23,6.31,330725,465574,335101,471734,295532,416031
90年,33.81,-1.4,299303,452951,304898,461419,265599,401946
91年,34.58,5.48,307429,473260,314257,483770,273232,420616
92年,34.42,4.22,317374,484164,326733,498441,285678,435810
93年,33.43,6.95,346881,512047,357752,528094,311002,459084
94年,32.18,5.38,374042,529556,382902,542099,331148,468828
95年,32.53,5.77,386492,550863,395897,564267,339508,483897
96年,32.84,6.85,406940,583133,416850,597334,351402,503548
97年,31.54,0.8,415824,570279,425520,583576,351851,482543
98年,33.06,-1.61,390788,559807,402958,577241,330371,473259
99年,31.65,10.25,444245,607596,457379,625560,383294,524234
100年,29.47,3.67,483957,614922,496583,630965,414907,527186
101年,29.62,2.22,495536,630749,510127,649322,421900,537021
102年,29.77,2.48,512957,654142,526477,671384,443210,565198
103年,30.37,4.72,535332,694680,549791,713443,467968,607264
104年,31.91,1.47,534474,726895,548253,745634,465705,633367
105年,32.33,2.17,543002,746526,556957,765711,473413,650854
106年,30.44,3.31,590780,763445,605477,782437,516879,667945
107年,30.16,2.79,609251,779260,623005,796852,529458,677201
108年,30.93,3.06,611336,801348,626731,821527,527402,691326
109年,29.58,3.39,673252,844485,692582,868732,582574,730744
110年,28.02,6.53,775838,926314,792201,945850,671197,801377
111年,29.81,2.45,762674,976914,780209,999125,650953,833445
